Game ID;Date;Side;Result;Player;Role;Hero;Ban Hero;Common Skill;Team;Opponent;Score;Kill;Death;Assist;Gold;Tyrant;S Tyrant;Tempest;Overlord;S Overlord;Damage Dealt;Damage Taken;Duration;Stage;Group;Region;;;
KWC26_PI_M05_G1;30/07/2026;Red;Lose;Tempest;Clashlane;Bai Qi;Florentino;Flash;Influence Rage;Buriram United;0 - 1;0;2;2;10100;0;0;0;0;1;;;18:11;Play-in;Group A;BR;;;
KWC26_PI_M05_G1;30/07/2026;Red;Lose;Dani;Jungler;Ying;Flowborn(FL);Smite;Influence Rage;Buriram United;0 - 1;0;4;1;12400;0;0;0;0;1;;;18:11;Play-in;Group A;BR;;;
KWC26_PI_M05_G1;30/07/2026;Red;Lose;Fury;Midlane;Lorion;Dharma;Flash;Influence Rage;Buriram United;0 - 1;0;3;3;8400;0;0;0;0;1;;;18:11;Play-in;Group A;BR;;;
KWC26_PI_M05_G1;30/07/2026;Red;Lose;Lefy;Farmlane;Chicha;Ata;Frenzy;Influence Rage;Buriram United;0 - 1;2;5;1;12300;0;0;0;0;1;;;18:11;Play-in;Group A;BR;;;
KWC26_PI_M05_G1;30/07/2026;Red;Lose;Maynah;Roamer;Zhang Fei;;Stun;Influence Rage;Buriram United;0 - 1;1;2;2;8400;0;0;0;0;1;;;18:11;Play-in;Group A;BR;;;
KWC26_PI_M05_G2;30/07/2026;Blue;Lose;Littleboyz;Clashlane;Charlotte;Pei;Flash;Buriram United;Influence Rage;1 - 1;0;4;7;11900;1;1;0;0;0;68600;102300;19:53;Play-in;Group A;TH;;;
KWC26_PI_M05_G2;30/07/2026;Blue;Lose;Valdus;Jungler;Nezha;Ao Yin;Smite;Buriram United;Influence Rage;1 - 1;6;1;6;14900;1;1;0;0;0;121400;93500;19:53;Play-in;Group A;TH;;;
KWC26_PI_M05_G2;30/07/2026;Blue;Lose;NuNu;Midlane;Haya;Chano;Flash;Buriram United;Influence Rage;1 - 1;1;2;6;10600;1;1;0;0;0;101700;61000;19:53;Play-in;Group A;TH;;;
KWC26_PI_M05_G2;30/07/2026;Blue;Lose;Ligky;Farmlane;Flowborn(FL);Erin;Flash;Buriram United;Influence Rage;1 - 1;4;1;4;14300;1;1;0;0;0;133500;33500;19:53;Play-in;Group A;TH;;;
KWC26_PI_M05_G2;30/07/2026;Blue;Lose;Taoz;Roamer;Zhang Fei;;Heal;Buriram United;Influence Rage;1 - 1;2;2;7;9600;1;1;0;0;0;28200;156300;19:53;Play-in;Group A;TH;;;
